"filename", "language", "Ignore", "HTML", "Markdown", "JSON", "JavaScript", "Docker", "YAML", "Lua", "MS SQL", "comment", "blank", "total"
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\middleware\security\rateLimitMiddleware.js", "JavaScript", 0, 0, 0, 0, 42, 0, 0, 0, 0, 13, 10, 65
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\middleware\security\securityHeadersMiddleware.js", "JavaScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 14, 9, 44
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\middleware\validation\authValidator.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 8, 32
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\middleware\validation\inputValidationRules.js", "JavaScript", 0, 0, 0, 0, 152, 0, 0, 0, 0, 20, 29, 201
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\modules\v1\auth\auth.js", "JavaScript", 0, 0, 0, 0, 54, 0, 0, 0, 0, 5, 12, 71
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\modules\v1\auth\authLearn.md", "Markdown", 0, 0, 226, 0, 0, 0, 0, 0, 0, 0, 114, 340
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\modules\v1\auth\authWithGoogle.js", "JavaScript", 0, 0, 0, 0, 52, 0, 0, 0, 0, 5, 10, 67
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\modules\v1\auth\tempCodeRunnerFile.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\modules\v1\auth\test.js", "JavaScript", 0, 0, 0, 0, 92, 0, 0, 0, 0, 15, 33, 140
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\modules\v1\business\business.controller.js", "JavaScript", 0, 0, 0, 0, 159, 0, 0, 0, 0, 0, 19, 178
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\modules\v1\business\business.formatters.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\modules\v1\business\business.model.js", "JavaScript", 0, 0, 0, 0, 122, 0, 0, 0, 0, 8, 18, 148
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\modules\v1\business\business.routes.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 9, 19
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\modules\v1\business\business.service.js", "JavaScript", 0, 0, 0, 0, 113, 0, 0, 0, 0, 7, 27, 147
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\modules\v1\business\business.validation.js", "JavaScript", 0, 0, 0, 0, 92, 0, 0, 0, 0, 33, 23, 148
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\modules\v1\general\general.controller.js", "JavaScript", 0, 0, 0, 0, 281, 0, 0, 0, 0, 0, 31, 312
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\modules\v1\general\general.formatter.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\modules\v1\general\general.models.js", "JavaScript", 0, 0, 0, 0, 154, 0, 0, 0, 0, 25, 23, 202
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\modules\v1\general\general.route.js", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 14, 29
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\modules\v1\general\general.service.js", "JavaScript", 0, 0, 0, 0, 192, 0, 0, 0, 0, 15, 44, 251
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\modules\v1\general\general.validation.js", "JavaScript", 0, 0, 0, 0, 273, 0, 0, 0, 0, 1, 52, 326
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\modules\v1\general\prompt.md", "Markdown", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 10, 70
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\modules\v1\general\schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 103, 41, 3, 147
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\modules\v1\socials\socials.controller.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\modules\v1\socials\socials.formatter.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\modules\v1\socials\socials.route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\modules\v1\socials\socials.service.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\modules\v1\socials\socials.validation.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\routes\Untitled-1.js", "JavaScript", 0, 0, 0, 0, 69, 0, 0, 0, 0, 27, 22, 118
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\routes\auth.route.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 22, 12, 58
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\server.js", "JavaScript", 0, 0, 0, 0, 37, 0, 0, 0, 0, 33, 19, 89
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\utils\redisKey.js", "JavaScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 8, 37
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\utils\redisKeyGenerator.js", "JavaScript", 0, 0, 0, 0, 98, 0, 0, 0, 0, 12, 26, 136
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\utils\tempCodeRunnerFile.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\utils\validation.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 8
"Total", "-", 2, 2220, 2211, 1991, 3326, 6, 38, 21, 115, 695, 1883, 12508
